"sourcekey" "targetkey" "lei_xing" "pk"
"DUI_XIANG:220182191512154376" "DUI_XIANG:54222719460915279X" "好友" "331"
"DUI_XIANG:220182191711279139" "DUI_XIANG:542227193903194128" "好友" "332"
"DUI_XIANG:22018219190906802X" "DUI_XIANG:542227192503062447" "好友" "333"
"DUI_XIANG:220182192504084800" "DUI_XIANG:542227192404177847" "好友" "334"
"DUI_XIANG:220182192801071301" "DUI_XIANG:542227192404119495" "同乡" "335"
"DUI_XIANG:220182192801126739" "DUI_XIANG:542227191908297012" "好友" "336"
"DUI_XIANG:220182194301247808" "DUI_XIANG:542227191710221282" "同学" "337"
"DUI_XIANG:22020318810531761X" "DUI_XIANG:542227191401223970" "好友" "338"
"DUI_XIANG:220203190112262621" "DUI_XIANG:542227190607025414" "好友" "339"
"DUI_XIANG:220203190707243649" "DUI_XIANG:542227190509154642" "同学" "340"
"DUI_XIANG:220203193705104761" "DUI_XIANG:542227190310017050" "好友" "341"
"DUI_XIANG:220203194101029398" "DUI_XIANG:542227190211075773" "好友" "342"
"DUI_XIANG:220203194510256719" "DUI_XIANG:542227189803207145" "好友" "343"
"DUI_XIANG:220323188204178484" "DUI_XIANG:542227189703231930" "好友" "344"
"DUI_XIANG:220323191512073032" "DUI_XIANG:542227188105273167" "好友" "345"
"DUI_XIANG:220323191909056804" "DUI_XIANG:542125194510303799" "同事" "346"
"DUI_XIANG:220323193903238817" "DUI_XIANG:542125194312144600" "好友" "347"
"DUI_XIANG:220323194201261638" "DUI_XIANG:542125193408132394" "好友" "348"
"DUI_XIANG:220500188006044190" "DUI_XIANG:542125192602234744" "好友" "349"
"DUI_XIANG:220500190706196200" "DUI_XIANG:542125191203111697" "好友" "350"
"DUI_XIANG:220500191202053948" "DUI_XIANG:542125189704013603" "好友" "351"
"DUI_XIANG:220500191809056977" "DUI_XIANG:542125189109263595" "好友" "352"
"DUI_XIANG:220500193606211331" "DUI_XIANG:542100194511015636" "好友" "353"
"DUI_XIANG:22050019421221418X" "DUI_XIANG:542100192306295545" "好友" "354"
"DUI_XIANG:220500194411304196" "DUI_XIANG:542100192008308432" "同学" "355"
"DUI_XIANG:220821188105259726" "DUI_XIANG:542100191302285433" "同乡" "356"
"DUI_XIANG:220821188303038609" "DUI_XIANG:542100189604107170" "好友" "357"
"DUI_XIANG:220821188501175989" "DUI_XIANG:533324194907205859" "好友" "358"
"DUI_XIANG:220821188810147754" "DUI_XIANG:533324194003241793" "好友" "359"
"DUI_XIANG:220821188910114132" "DUI_XIANG:53332419200824111X" "同乡" "360"
"DUI_XIANG:220821189802115087" "DUI_XIANG:533324191711279115" "同学" "361"
"DUI_XIANG:220821190211075421" "DUI_XIANG:533324191104241705" "好友" "362"
"DUI_XIANG:220821190607299237" "DUI_XIANG:533324190608128664" "好友" "363"
"DUI_XIANG:220821191004239352" "DUI_XIANG:533324190608117877" "好友" "364"
"DUI_XIANG:220821191103112103" "DUI_XIANG:533324190608072656" "好友" "365"
"DUI_XIANG:220821192701093349" "DUI_XIANG:53332419000104515X" "好友" "366"
"DUI_XIANG:220821192812012652" "DUI_XIANG:533324189803299524" "好友" "367"
"DUI_XIANG:220821193110031394" "DUI_XIANG:53332418891121866X" "好友" "368"
"DUI_XIANG:220821193209273107" "DUI_XIANG:533324188811277064" "同乡" "369"
"DUI_XIANG:220821193308165769" "DUI_XIANG:532622194511052270" "同乡" "370"
"DUI_XIANG:220821193704035608" "DUI_XIANG:532622193805082497" "好友" "371"
"DUI_XIANG:220821194510221829" "DUI_XIANG:532622193310029467" "好友" "372"
"DUI_XIANG:220821194510278841" "DUI_XIANG:53262219301224197X" "好友" "373"
"DUI_XIANG:220821194609153037" "DUI_XIANG:532622192207135398" "好友" "374"
"DUI_XIANG:222400188303085454" "DUI_XIANG:532622192008297466" "好友" "375"
"DUI_XIANG:222400188612071697" "DUI_XIANG:532622190807266536" "好友" "376"
"DUI_XIANG:222400188711254536" "DUI_XIANG:532622190707299541" "好友" "377"
"DUI_XIANG:222400188909033472" "DUI_XIANG:532622190001044723" "同事" "378"
"DUI_XIANG:222400189802114680" "DUI_XIANG:532622189803312955" "好友" "379"
"DUI_XIANG:222400190508083463" "DUI_XIANG:532622189010091902" "好友" "380"
"DUI_XIANG:222400191202285593" "DUI_XIANG:532600193706212091" "同事" "381"
"DUI_XIANG:222400191412106389" "DUI_XIANG:532600193309019167" "合作关系" "382"
"DUI_XIANG:222400191511026288" "DUI_XIANG:532600192505202191" "好友" "383"
"DUI_XIANG:22240019180908179X" "DUI_XIANG:532600188502028501" "好友" "384"
"DUI_XIANG:222400192304154871" "DUI_XIANG:530702194412178490" "合作关系" "385"
"DUI_XIANG:222400192801034440" "DUI_XIANG:530702193805185961" "好友" "386"
"DUI_XIANG:222400193308143031" "DUI_XIANG:530702193112253327" "好友" "387"
"DUI_XIANG:222400193506211138" "DUI_XIANG:530702192406307381" "同校" "388"
"DUI_XIANG:222400194002089890" "DUI_XIANG:530702191402029711" "同校" "389"
"DUI_XIANG:222400194708275214" "DUI_XIANG:530702189208251420" "同乡" "390"
"DUI_XIANG:230108188104203846" "DUI_XIANG:53070218891126670X" "好友" "391"
"DUI_XIANG:23010818840222475X" "DUI_XIANG:53050119430126169X" "好友" "392"
"DUI_XIANG:230108189207039342" "DUI_XIANG:530501191501271944" "同伙" "393"
"DUI_XIANG:230108190210041185" "DUI_XIANG:530501191501271477" "好友" "394"
"DUI_XIANG:230108190210041951" "DUI_XIANG:530501191501246407" "好友" "395"
"DUI_XIANG:230108191301201548" "DUI_XIANG:530501191402017932" "好友" "396"
"DUI_XIANG:230108191412073120" "DUI_XIANG:530501191303168882" "亲属" "397"
"DUI_XIANG:230108191809034584" "DUI_XIANG:530501189804047517" "好友" "398"
"DUI_XIANG:230108192106295168" "DUI_XIANG:530501189705211801" "好友" "399"
"DUI_XIANG:230108192304165938" "DUI_XIANG:530501189308273515" "好友" "400"
"DUI_XIANG:230108192503266598" "DUI_XIANG:530501189110159725" "同事" "401"
"DUI_XIANG:230108192701068197" "DUI_XIANG:530501189110103684" "好友" "402"
"DUI_XIANG:230108193903171058" "DUI_XIANG:530501188911277508" "好友" "403"
"DUI_XIANG:230108194410244233" "DUI_XIANG:530501188305318226" "好友" "404"
"DUI_XIANG:230108194410291283" "DUI_XIANG:530501188305296186" "好友" "405"
"DUI_XIANG:230108194906089484" "DUI_XIANG:53010319390510531X" "好友" "406"
"DUI_XIANG:230307188203063409" "DUI_XIANG:530103192604167168" "好友" "407"
"DUI_XIANG:230307188711229700" "DUI_XIANG:530103192406029944" "好友" "408"
"DUI_XIANG:230307188810125624" "DUI_XIANG:530103192306099347" "好友" "409"
"DUI_XIANG:230307188909044429" "DUI_XIANG:530103191712118617" "同校" "410"
"DUI_XIANG:23030718900822593X" "DUI_XIANG:530103191403123287" "同校" "411"
"DUI_XIANG:230307190111064167" "DUI_XIANG:530103190807302092" "亲属" "412"
"DUI_XIANG:230307191202238278" "DUI_XIANG:530103190807014592" "好友" "413"
"DUI_XIANG:230307191412062194" "DUI_XIANG:530103188404181342" "好友" "414"
"DUI_XIANG:230307192304119223" "DUI_XIANG:530103188106173264" "好友" "415"
"DUI_XIANG:230307192911158689" "DUI_XIANG:522700194302103161" "好友" "416"
"DUI_XIANG:230307193109248286" "DUI_XIANG:522700193409021620" "同学" "417"
"DUI_XIANG:23030719360509356X" "DUI_XIANG:522700192505236512" "合作关系" "418"
"DUI_XIANG:230703188005284290" "DUI_XIANG:52270019110504519X" "好友" "419"
"DUI_XIANG:230703190706137405" "DUI_XIANG:522700190808085089" "好友" "420"
"DUI_XIANG:230703191103086463" "DUI_XIANG:522700190510053359" "好友" "421"
"DUI_XIANG:230703191201209949" "DUI_XIANG:522700190312226650" "好友" "422"
"DUI_XIANG:230703191808251705" "DUI_XIANG:522700189904037425" "好友" "423"
"DUI_XIANG:230703192911113508" "DUI_XIANG:522700188305033604" "好友" "424"
"DUI_XIANG:230703193010316249" "DUI_XIANG:52270018820614865X" "同校" "425"
"DUI_XIANG:23070319310922503X" "DUI_XIANG:522700188008014124" "好友" "426"
"DUI_XIANG:230703193605071076" "DUI_XIANG:522633193806271377" "好友" "427"
"DUI_XIANG:230703194310289056" "DUI_XIANG:522633193707074343" "亲属" "428"
"DUI_XIANG:230703194311016105" "DUI_XIANG:522633193112287200" "好友" "429"
"DUI_XIANG:23070319450916367X" "DUI_XIANG:522633192704122085" "同事" "430"
"DUI_XIANG:230703194608035438" "DUI_XIANG:522633192703074261" "好友" "431"
"DUI_XIANG:230703194905305844" "DUI_XIANG:522633192109058058" "同乡" "432"
"DUI_XIANG:230710188103086144" "DUI_XIANG:522633192010207906" "好友" "433"
"DUI_XIANG:230710188809043517" "DUI_XIANG:522633189507064675" "好友" "434"
"DUI_XIANG:23071019060721806X" "DUI_XIANG:522633189210115259" "好友" "435"
"DUI_XIANG:23071019080425158X" "DUI_XIANG:522633188007309547" "同校" "436"
"DUI_XIANG:23071019170905665X" "DUI_XIANG:522422194005116603" "好友" "437"
"DUI_XIANG:230710192304118220" "DUI_XIANG:522422194004047669" "亲属" "438"
"DUI_XIANG:23071019281117215X" "DUI_XIANG:522422193101071770" "好友" "439"
"DUI_XIANG:230710193010029163" "DUI_XIANG:522422192803038655" "好友" "440"
"DUI_XIANG:230710194001258700" "DUI_XIANG:522422191106149822" "合作关系" "441"
"DUI_XIANG:230710194608311010" "DUI_XIANG:522422191105104673" "好友" "442"
"DUI_XIANG:230710194905272812" "DUI_XIANG:522422190412204469" "好友" "443"
"DUI_XIANG:230833188302201619" "DUI_XIANG:522422189209067608" "亲属" "444"
"DUI_XIANG:230833188512057387" "DUI_XIANG:522422188912072631" "好友" "445"
"DUI_XIANG:230833190705056439" "DUI_XIANG:522422188603133875" "同学" "446"
"DUI_XIANG:230833191312106575" "DUI_XIANG:52242218860310939X" "同乡" "447"
"DUI_XIANG:230833191709033669" "DUI_XIANG:522422188404215552" "好友" "448"
"DUI_XIANG:23083319190716845X" "DUI_XIANG:522422188107276607" "好友" "449"
"DUI_XIANG:230833192204121131" "DUI_XIANG:522422188008105458" "同乡" "450"
"DUI_XIANG:230833193802113101" "DUI_XIANG:520326194711109230" "好友" "451"
"DUI_XIANG:230833194410197574" "DUI_XIANG:520326194710028404" "同学" "452"
"DUI_XIANG:231003188809285291" "DUI_XIANG:520326194104302493" "好友" "453"
"DUI_XIANG:231003189107062936" "DUI_XIANG:520326193806293072" "同校" "454"
"DUI_XIANG:231003189801261791" "DUI_XIANG:520326193509249059" "好友" "455"
"DUI_XIANG:231003190011133697" "DUI_XIANG:520326193211231278" "好友" "456"
"DUI_XIANG:231003190408013896" "DUI_XIANG:520326192307238584" "好友" "457"
"DUI_XIANG:231003190705044912" "DUI_XIANG:520326192307205707" "好友" "458"
"DUI_XIANG:231003190804238114" "DUI_XIANG:520326192208298290" "合作关系" "459"
"DUI_XIANG:231003190903145829" "DUI_XIANG:520326192208275726" "好友" "460"
"DUI_XIANG:231003192910076357" "DUI_XIANG:520326191712188512" "同校" "461"
"DUI_XIANG:231003193406185778" "DUI_XIANG:520326191712188141" "同校" "462"
"DUI_XIANG:231003194112085581" "DUI_XIANG:520326191403124259" "同学" "463"
"DUI_XIANG:231003194112096811" "DUI_XIANG:520326191304242014" "好友" "464"
"DUI_XIANG:231222188202271336" "DUI_XIANG:520326191007277616" "好友" "465"
"DUI_XIANG:231222188401071847" "DUI_XIANG:520326190202127176" "好友" "466"
"DUI_XIANG:23122218871009118X" "DUI_XIANG:520326189111278093" "好友" "467"
"DUI_XIANG:231222189205175619" "DUI_XIANG:520326188206185418" "同伙" "468"
"DUI_XIANG:231222189305197372" "DUI_XIANG:520300194810292444" "同学" "469"
"DUI_XIANG:231222189404299083" "DUI_XIANG:520300193509273960" "同校" "470"
"DUI_XIANG:231222189602137755" "DUI_XIANG:520300193410101843" "好友" "471"
"DUI_XIANG:231222190309129199" "DUI_XIANG:520300193311229649" "好友" "472"
"DUI_XIANG:231222190506184250" "DUI_XIANG:520300191701247616" "好友" "473"
"DUI_XIANG:23122219050722850X" "DUI_XIANG:520300190709258534" "好友" "474"
"DUI_XIANG:231222191201175710" "DUI_XIANG:520300190102175257" "好友" "475"
"DUI_XIANG:231222191411232314" "DUI_XIANG:520300189705246351" "同校" "476"
"DUI_XIANG:231222193208084087" "DUI_XIANG:520300188702273472" "好友" "477"
"DUI_XIANG:231222193703182880" "DUI_XIANG:520300188504192938" "好友" "478"
"DUI_XIANG:231222194001212795" "DUI_XIANG:513328194909176010" "好友" "479"
"DUI_XIANG:23122318861119549X" "DUI_XIANG:513328193906271448" "同事" "480"
"DUI_XIANG:231223189205197910" "DUI_XIANG:513328192704155903" "好友" "481"
"DUI_XIANG:231223190506184476" "DUI_XIANG:513328192010221937" "好友" "482"
"DUI_XIANG:231223190804226734" "DUI_XIANG:513328191106174886" "好友" "483"
"DUI_XIANG:23122319200628308X" "DUI_XIANG:513328190808132037" "好友" "484"
"DUI_XIANG:231223192612296366" "DUI_XIANG:513229194302173594" "好友" "485"
"DUI_XIANG:231223193703123852" "DUI_XIANG:513229194005139920" "同事" "486"
"DUI_XIANG:231223194805317134" "DUI_XIANG:513229193906235464" "好友" "487"
"DUI_XIANG:231281188412057573" "DUI_XIANG:513229193609296922" "同学" "488"
"DUI_XIANG:231281189007052618" "DUI_XIANG:513229193311206330" "好友" "489"
"DUI_XIANG:231281189305116181" "DUI_XIANG:513229193002213430" "合作关系" "490"
"DUI_XIANG:231281189812214536" "DUI_XIANG:513229191911062810" "同事" "491"
"DUI_XIANG:231281190209153394" "DUI_XIANG:513229191503135953" "好友" "492"
"DUI_XIANG:231281191201129087" "DUI_XIANG:513229189905176683" "同学" "493"
"DUI_XIANG:23128119150907852X" "DUI_XIANG:513229189607179368" "好友" "494"
"DUI_XIANG:231281192204084106" "DUI_XIANG:513229188802028181" "好友" "495"
"DUI_XIANG:231281192302209312" "DUI_XIANG:513229188604169143" "好友" "496"
"DUI_XIANG:231281192909248158" "DUI_XIANG:513229188504249568" "好友" "497"
"DUI_XIANG:231281193603182699" "DUI_XIANG:513229188306196338" "同乡" "498"
"DUI_XIANG:23128119370311217X" "DUI_XIANG:513229188306195781" "同学" "499"
"DUI_XIANG:232721188201174536" "DUI_XIANG:51322419490921248X" "好友" "500"
"DUI_XIANG:232721188301141272" "DUI_XIANG:513224194303205867" "好友" "501"
"DUI_XIANG:232721190407195124" "DUI_XIANG:513224194005164155" "好友" "502"
"DUI_XIANG:232721191410206730" "DUI_XIANG:513224193509044232" "好友" "503"
"DUI_XIANG:232721192810042514" "DUI_XIANG:51322419290305213X" "好友" "504"
"DUI_XIANG:23272119281005331X" "DUI_XIANG:513224191106244708" "好友" "505"
"DUI_XIANG:232721193703101368" "DUI_XIANG:51322419061007714X" "同乡" "506"
"DUI_XIANG:232721194707124449" "DUI_XIANG:513224190610065296" "好友" "507"
"DUI_XIANG:23272218930429948X" "DUI_XIANG:513224190202208972" "同事" "508"
"DUI_XIANG:232722190506125478" "DUI_XIANG:513224188901234472" "同事" "509"
"DUI_XIANG:232722190902272621" "DUI_XIANG:513224188008128749" "好友" "510"
"DUI_XIANG:232722191510103516" "DUI_XIANG:51182319471223687X" "好友" "511"
"DUI_XIANG:232722191708192913" "DUI_XIANG:511823194601019493" "好友" "512"
"DUI_XIANG:232722192203299197" "DUI_XIANG:511823193101175508" "好友" "513"
"DUI_XIANG:232722193504239379" "DUI_XIANG:511823192804192596" "同乡" "514"
"DUI_XIANG:232722193901191049" "DUI_XIANG:511823192705306316" "同事" "515"
"DUI_XIANG:232722194012096628" "DUI_XIANG:511823189607146147" "同校" "516"
"DUI_XIANG:320201188201127606" "DUI_XIANG:511823189508297353" "好友" "517"
"DUI_XIANG:320201188511183945" "DUI_XIANG:51182318900117598X" "好友" "518"
"DUI_XIANG:320201188709273516" "DUI_XIANG:511823188803087282" "好友" "519"
"DUI_XIANG:320201188908121865" "DUI_XIANG:511823188703123637" "好友" "520"
"DUI_XIANG:320201189403264283" "DUI_XIANG:511823188604204896" "合作关系" "521"
"DUI_XIANG:320201189911027719" "DUI_XIANG:511823188406151420" "好友" "522"
"DUI_XIANG:320201190307287133" "DUI_XIANG:511602194910016322" "好友" "523"
"DUI_XIANG:320201191212035843" "DUI_XIANG:511602194402127472" "好友" "524"
"DUI_XIANG:320201191212046980" "DUI_XIANG:511602193708225716" "好友" "525"
"DUI_XIANG:320201193107313302" "DUI_XIANG:511602193003038777" "好友" "526"
"DUI_XIANG:320201193603135293" "DUI_XIANG:511602192705283457" "好友" "527"
"DUI_XIANG:320201193901188094" "DUI_XIANG:511602190512264007" "好友" "528"
"DUI_XIANG:320302188709248419" "DUI_XIANG:511602190401045311" "好友" "529"
"DUI_XIANG:320302189303252930" "DUI_XIANG:51160218950930978X" "同学" "530"
"DUI_XIANG:320302190307206569" "DUI_XIANG:511524194601307268" "同学" "531"
"DUI_XIANG:320302191001209542" "DUI_XIANG:511524194601033543" "好友" "532"
"DUI_XIANG:320302191509296659" "DUI_XIANG:511524194601011037" "好友" "533"
"DUI_XIANG:320302191807063749" "DUI_XIANG:511524193808189735" "好友" "534"
"DUI_XIANG:320302192909165994" "DUI_XIANG:511524193201127757" "同学" "535"
"DUI_XIANG:320302193207243024" "DUI_XIANG:511524193102246937" "好友" "536"
"DUI_XIANG:320302194111304050" "DUI_XIANG:511524192012108376" "好友" "537"
"DUI_XIANG:320302194805202139" "DUI_XIANG:511524190909225842" "同校" "538"
"DUI_XIANG:320327198001010002" "DUI_XIANG:511524190004096847" "好友" "539"
"DUI_XIANG:320327198001010003" "DUI_XIANG:511524189905282470" "好友" "540"
"DUI_XIANG:320327198001010004" "DUI_XIANG:511524188902251164" "好友" "541"
"DUI_XIANG:320327198001010005" "DUI_XIANG:511524188704193661" "好友" "542"
"DUI_XIANG:320327198001010006" "DUI_XIANG:510903194910052421" "同校" "543"
"DUI_XIANG:320327198001010007" "DUI_XIANG:510903192408286899" "合作关系" "544"
"DUI_XIANG:320327198001010008" "DUI_XIANG:510903191504276311" "好友" "545"
"DUI_XIANG:320327198001010009" "DUI_XIANG:510903190004155279" "好友" "546"
"DUI_XIANG:320327198001010010" "DUI_XIANG:510903189509022895" "好友" "547"
"DUI_XIANG:320327198001010011" "DUI_XIANG:510903188109188613" "亲属" "548"
"DUI_XIANG:320327198001010012" "DUI_XIANG:510903188009246660" "好友" "549"
"DUI_XIANG:320327198001010013" "DUI_XIANG:510683194106246853" "好友" "550"
"DUI_XIANG:320327198001010014" "DUI_XIANG:510683193808191872" "好友" "551"
"DUI_XIANG:320327198001010015" "DUI_XIANG:510683193610113924" "同学" "552"
"DUI_XIANG:320327198001010016" "DUI_XIANG:510683193102295039" "亲属" "553"
"DUI_XIANG:320327198001010017" "DUI_XIANG:510683192408036086" "好友" "554"
"DUI_XIANG:320327198001010018" "DUI_XIANG:510683191405138752" "同乡" "555"
"DUI_XIANG:320327198001010019" "DUI_XIANG:510683190909192248" "好友" "556"
"DUI_XIANG:320327198001010020" "DUI_XIANG:51068319040112675X" "亲属" "557"
"DUI_XIANG:320327198001010021" "DUI_XIANG:510683190203266858" "好友" "558"
"DUI_XIANG:320327198001010022" "DUI_XIANG:510683189101188133" "同校" "559"
"DUI_XIANG:320327198001010023" "DUI_XIANG:510683188109224915" "同事" "560"
"DUI_XIANG:320327198001010024" "DUI_XIANG:510601193003085752" "同校" "561"
"DUI_XIANG:320327198001010025" "DUI_XIANG:510601192805318349" "好友" "562"
"DUI_XIANG:320327198001010026" "DUI_XIANG:510601191912202259" "同乡" "563"
"DUI_XIANG:320327198001010027" "DUI_XIANG:510601190512012777" "好友" "564"
"DUI_XIANG:320327198001010028" "DUI_XIANG:510601189311014268" "好友" "565"
"DUI_XIANG:320327198001010029" "DUI_XIANG:510601189101165711" "好友" "566"
"DUI_XIANG:320327198001010030" "DUI_XIANG:510601188803134771" "好友" "567"
"DUI_XIANG:320327198001010031" "DUI_XIANG:510601188506151612" "好友" "568"
"DUI_XIANG:320327198001010032" "DUI_XIANG:510503194007109282" "好友" "569"
"DUI_XIANG:320327198001010033" "DUI_XIANG:510503193610125565" "好友" "570"
"DUI_XIANG:320327198001010034" "DUI_XIANG:510503192309142599" "好友" "571"
"DUI_XIANG:320327198001010035" "DUI_XIANG:43022518970211525X" "同事" "572"
"DUI_XIANG:320327198001010036" "DUI_XIANG:510503190104132953" "好友" "573"
"DUI_XIANG:320327198001010037" "DUI_XIANG:510503189212121153" "好友" "574"
"DUI_XIANG:320327198001010038" "DUI_XIANG:510183194106269505" "好友" "575"
"DUI_XIANG:320327198001010039" "DUI_XIANG:510183193809022109" "同事" "576"
"DUI_XIANG:320327198001010040" "DUI_XIANG:510183193610161865" "好友" "577"
"DUI_XIANG:320327198001010041" "DUI_XIANG:510183193412036318" "亲属" "578"
"DUI_XIANG:320327198001010042" "DUI_XIANG:510183192309198277" "好友" "579"
"DUI_XIANG:320327198001010043" "DUI_XIANG:510183192111109160" "同校" "580"
"DUI_XIANG:320327198001010044" "DUI_XIANG:510183192111086624" "同事" "581"
"DUI_XIANG:320327198001010045" "DUI_XIANG:510183190501149951" "亲属" "582"
"DUI_XIANG:320327198001010046" "DUI_XIANG:510183190402165112" "好友" "583"
"DUI_XIANG:320327198001010047" "DUI_XIANG:510183189906087578" "好友" "584"
"DUI_XIANG:320327198001010048" "DUI_XIANG:51018318990602960X" "好友" "585"
"DUI_XIANG:320327198001010049" "DUI_XIANG:510183189807134535" "好友" "586"
"DUI_XIANG:320327198001010050" "DUI_XIANG:510183188903134477" "同学" "587"
"DUI_XIANG:320327198001010051" "DUI_XIANG:510183188407288397" "合作关系" "588"
"DUI_XIANG:320327198001010052" "DUI_XIANG:510183188209191279" "好友" "589"
"DUI_XIANG:320327198001010053" "DUI_XIANG:510112194404059770" "好友" "590"
"DUI_XIANG:320327198001010054" "DUI_XIANG:510112193908167498" "好友" "591"
"DUI_XIANG:320327198001010055" "DUI_XIANG:510112192905272773" "好友" "592"
"DUI_XIANG:320327198001010056" "DUI_XIANG:510112189807171701" "亲属" "593"
"DUI_XIANG:320327198001010057" "DUI_XIANG:510112189312096412" "好友" "594"
"DUI_XIANG:320327198001010058" "DUI_XIANG:510112188407014331" "合作关系" "595"
"DUI_XIANG:320327198001010059" "DUI_XIANG:510112188110028871" "同事" "596"
"DUI_XIANG:320327198001010060" "DUI_XIANG:510112188011098268" "好友" "597"
"DUI_XIANG:320327198001010061" "DUI_XIANG:510106191604034964" "好友" "598"
"DUI_XIANG:320327198001010062" "DUI_XIANG:510106191009259368" "好友" "599"
"DUI_XIANG:320327198001010063" "DUI_XIANG:510106190501127071" "好友" "600"
"DUI_XIANG:320327198001010064" "DUI_XIANG:510106189101269451" "好友" "601"
"DUI_XIANG:320327198001010065" "DUI_XIANG:500237194702126581" "同校" "602"
"DUI_XIANG:320327198001010066" "DUI_XIANG:500237194305211969" "好友" "603"
"DUI_XIANG:320327198001010067" "DUI_XIANG:500237194008204295" "好友" "604"
"DUI_XIANG:320327198001010068" "DUI_XIANG:500237192806103297" "同伙" "605"
"DUI_XIANG:320327198001010069" "DUI_XIANG:500237192608035430" "好友" "606"
"DUI_XIANG:320327198001010070" "DUI_XIANG:500237192607253225" "好友" "607"
"DUI_XIANG:320327198001010071" "DUI_XIANG:50023719160401331X" "好友" "608"
"DUI_XIANG:320327198001010072" "DUI_XIANG:500237190810135313" "亲属" "609"
"DUI_XIANG:320327198001010073" "DUI_XIANG:500237190712264453" "好友" "610"
"DUI_XIANG:320327198001010074" "DUI_XIANG:500237189708319281" "好友" "611"
"DUI_XIANG:320327198001010075" "DUI_XIANG:500237188110028856" "好友" "612"
"DUI_XIANG:320327198001010076" "DUI_XIANG:50023219460219709X" "好友" "613"
"DUI_XIANG:320327198001010077" "DUI_XIANG:500232193909285970" "亲属" "614"
"DUI_XIANG:320327198001010078" "DUI_XIANG:500232191604035154" "合作关系" "615"
"DUI_XIANG:320327198001010079" "DUI_XIANG:50023219050217583X" "好友" "616"
"DUI_XIANG:320327198001010080" "DUI_XIANG:500232190204189248" "合作关系" "617"
"DUI_XIANG:320327198001010081" "DUI_XIANG:500232189610196496" "好友" "618"
"DUI_XIANG:320327198001010082" "DUI_XIANG:500232189510197299" "好友" "619"
"DUI_XIANG:320327198001010083" "DUI_XIANG:500232189510196173" "合作关系" "620"
"DUI_XIANG:320327198001010084" "DUI_XIANG:500232188309213993" "好友" "621"
"DUI_XIANG:320327198001010085" "DUI_XIANG:500232188308153706" "好友" "622"
"DUI_XIANG:320327198001010086" "DUI_XIANG:460200194912238615" "好友" "623"
"DUI_XIANG:320327198001010087" "DUI_XIANG:460200194504047940" "好友" "624"
"DUI_XIANG:320327198001010088" "DUI_XIANG:460200194107097813" "好友" "625"
"DUI_XIANG:320327198001010089" "DUI_XIANG:460200192509165218" "好友" "626"
"DUI_XIANG:320327198001010090" "DUI_XIANG:43022518970211525X" "好友" "627"
"DUI_XIANG:320327198001010091" "DUI_XIANG:460200192211108413" "好友" "628"
"DUI_XIANG:320327198001010092" "DUI_XIANG:460200190811218174" "好友" "629"
"DUI_XIANG:320327198001010093" "DUI_XIANG:460200190304119446" "好友" "630"
"DUI_XIANG:320327198001010094" "DUI_XIANG:460200189201257944" "好友" "631"
"DUI_XIANG:320327198001010095" "DUI_XIANG:460200189201213423" "好友" "632"
"DUI_XIANG:320327198001010096" "DUI_XIANG:460200188309201649" "好友" "633"
"DUI_XIANG:320327198001010097" "DUI_XIANG:460200188111109943" "好友" "634"
"DUI_XIANG:320327198001010098" "DUI_XIANG:460200188110054119" "好友" "635"
"DUI_XIANG:320327198001010099" "DUI_XIANG:451424194801078517" "好友" "636"
"DUI_XIANG:320327198001010100" "DUI_XIANG:451424194306271889" "好友" "637"
"DUI_XIANG:320327198001010101" "DUI_XIANG:451424194107098200" "好友" "638"
"DUI_XIANG:320503188003049431" "DUI_XIANG:451424193302284223" "好友" "639"
"DUI_XIANG:320503188808129877" "DUI_XIANG:451424193103156448" "好友" "640"
"DUI_XIANG:320503189403194595" "DUI_XIANG:451424192608071867" "好友" "641"
"DUI_XIANG:320503189712192083" "DUI_XIANG:451424192002055360" "亲属" "642"
"DUI_XIANG:320503190009153590" "DUI_XIANG:451424188805068446" "好友" "643"
"DUI_XIANG:32050319090228389X" "DUI_XIANG:451424188011182423" "好友" "644"
"DUI_XIANG:320503191905211933" "DUI_XIANG:451421194009308201" "好友" "645"
"DUI_XIANG:320503194209127475" "DUI_XIANG:451421193909078750" "同学" "646"
"DUI_XIANG:320584188411135724" "DUI_XIANG:451421192101295504" "好友" "647"
"DUI_XIANG:320584188411183048" "DUI_XIANG:451421190502257606" "好友" "648"
"DUI_XIANG:320584188709226493" "DUI_XIANG:451421189908264082" "好友" "649"
"DUI_XIANG:320584190803038694" "DUI_XIANG:451421189511059881" "同乡" "650"
"DUI_XIANG:320584191001153003" "DUI_XIANG:451421189003205045" "好友" "651"
"DUI_XIANG:320584191211218450" "DUI_XIANG:451421188805093132" "同事" "652"
"DUI_XIANG:320584192401056477" "DUI_XIANG:451421188111123536" "亲属" "653"
"DUI_XIANG:320584193107254573" "DUI_XIANG:451421188012237669" "同伙" "654"
"DUI_XIANG:320584194011292166" "DUI_XIANG:45142118801222661X" "好友" "655"
"DUI_XIANG:320724188510087654" "DUI_XIANG:451029194405187391" "好友" "656"
"DUI_XIANG:320724189006208853" "DUI_XIANG:451029194306272646" "同校" "657"
"DUI_XIANG:320724189910289962" "DUI_XIANG:451029194107181231" "好友" "658"
"DUI_XIANG:320724190406091576" "DUI_XIANG:451029193909081705" "好友" "659"
"DUI_XIANG:320724190505296091" "DUI_XIANG:451029193711254877" "好友" "660"
